institucion
ASAMBLEA NACIONAL
CONTRALORIA GENERAL DE LA REPUBLICA
DEFENSORIA DEL PUEBLO
FISCALÍA DE CUENTAS
FISCALÍA GENERAL ELECTORAL
MINISTERIO DE AMBIENTE
MINISTERIO DE COMERCIO E INDUSTRIAS
MINISTERIO DE CULTURA
MINISTERIO DE DESARROLLO AGROPECUARIO
MINISTERIO DE DESARROLLO SOCIAL
MINISTERIO DE ECONOMIA Y FINANZAS
MINISTERIO DE EDUCACION
MINISTERIO DE GOBIERNO
MINISTERIO DE LA MUJER
MINISTERIO DE LA PRESIDENCIA
MINISTERIO DE OBRAS PUBLICAS
MINISTERIO DE RELACIONES EXTERIORES
MINISTERIO DE SALUD
MINISTERIO DE SEGURIDAD PUBLICA
MINISTERIO DE TRABAJO Y DESARROLLO LABORAL
MINISTERIO DE VIVIENDA Y ORDENAMIENTO TERRITORIAL
ORGANO JUDICIAL
OTROS GASTOS DE LA ADMINISTRACION
PROCURADURÍA DE LA ADMINISTRACIÓN
PROCURADURÍA GENERAL DE LA NACIÓN
TRIBUNAL ADMINISTRATIVO DE LA FUNCIÓN PÚBLICA
TRIBUNAL ADMINISTRATIVO TRIBUTARIO
TRIBUNAL DE CUENTAS
TRIBUNAL ELECTORAL
